PropertyGFATotal,PropertyGFABuilding(s),PropertyGFAParking,NumberofBuildings,NumberofFloors,PrimaryPropertyType,LargestPropertyUseType,LargestPropertyUseTypeGFA,CouncilDistrictCode,Neighborhood,Latitude,Longitude,YearBuilt,SiteEnergyUse(kBtu)
224864.625,196071.25,0,1.0,15,Other,Other,192159.375,7,DOWNTOWN,47.60699,-122.33481,1955,16336999.203125
76086.0,76086.0,0,1.0,1,Other,Other,77810.0,7,MAGNOLIA / QUEEN ANNE,47.63965,-122.3783,1973,3267564.0
190000.0,151000.0,39000,1.0,5,Medical Office,Medical Office,146741.0,7,MAGNOLIA / QUEEN ANNE,47.61972,-122.36033,1927,16336999.203125
122309.0,122309.0,0,1.0,4,Hotel,Hotel,122309.0,7,DOWNTOWN,47.6124,-122.35075,1961,16336999.203125
215476.0,196071.25,0,4.0,3,Other,Other,192159.375,7,DOWNTOWN,47.61137,-122.34947,1995,16336999.203125
224864.625,196071.25,38800,1.0,8,Hotel,Hotel,192159.375,7,DOWNTOWN,47.61069,-122.34653,2003,16336999.203125
69400.0,69400.0,0,1.0,2,Other,Other - Entertainment/Public Assembly,69400.0,7,DOWNTOWN,47.60729,-122.34211,1980,14833476.0
62900.0,62900.0,0,1.0,1,Mixed Use Property,Restaurant,32494.0,7,DOWNTOWN,47.6041,-122.33958,1900,10394330.0
56500.0,56500.0,0,1.0,4,Small- and Mid-Sized Office,Office,33000.0,7,DOWNTOWN,47.60271,-122.33557,1914,1380293.625
203504.0,196071.25,0,1.0,4,Warehouse,Non-Refrigerated Warehouse,159372.0,2,GREATER DUWAMISH,47.59486,-122.32455,2008,3785282.5
100734.0,74003.0,26731,0.0,3,Large Office,Office,100734.0,7,DOWNTOWN,47.61757,-122.35122,1968,9788717.0
77662.0,59158.0,18504,1.0,4,Small- and Mid-Sized Office,Office,62108.0,7,DOWNTOWN,47.61703,-122.35012,1981,5007401.0
224864.625,196071.25,21790,1.0,12,Large Office,Office,173786.0,7,DOWNTOWN,47.61619,-122.34599,1978,16336999.203125
224864.625,196071.25,0,1.0,25,Large Office,Office,192159.375,7,DOWNTOWN,47.61217,-122.33694,1989,16336999.203125
224864.625,196071.25,0,1.0,10,Retail Store,Retail Store,192159.375,7,DOWNTOWN,47.61229,-122.33629,1925,16336999.203125
224864.625,196071.25,0,1.0,33,Large Office,Office,192159.375,7,DOWNTOWN,47.61316,-122.3343,1976,16336999.203125
224864.625,196071.25,205076,1.0,23,Large Office,Office,192159.375,7,DOWNTOWN,47.61399,-122.33523,2000,16336999.203125
63409.0,55652.0,7757,1.0,10,Small- and Mid-Sized Office,Office,45260.0,7,DOWNTOWN,47.61356,-122.33665,1926,3444270.0
204790.0,174790.0,30000,1.0,17,Large Office,Office,142034.0,7,DOWNTOWN,47.61375,-122.33566,1930,7739699.0
73399.0,73399.0,0,1.0,5,Small- and Mid-Sized Office,Office,51557.0,7,DOWNTOWN,47.61256,-122.33808,1916,3757006.0
224864.625,196071.25,32334,1.0,20,Large Office,Office,192159.375,7,DOWNTOWN,47.61391,-122.33725,1969,14633233.0
224864.625,196071.25,228668,1.0,25,Large Office,Office,192159.375,7,DOWNTOWN,47.61578,-122.33726,2009,16336999.203125
206000.0,196071.25,0,1.0,12,Large Office,Office,161000.0,7,DOWNTOWN,47.61641,-122.34112,1968,8580279.0
224864.625,196071.25,154972,1.0,36,Large Office,Office,192159.375,7,DOWNTOWN,47.61555,-122.33582,2009,16336999.203125
224864.625,196071.25,141600,1.0,16,Large Office,Office,192159.375,7,DOWNTOWN,47.61516,-122.33303,1990,16336999.203125
89550.0,89550.0,0,1.0,7,Small- and Mid-Sized Office,Office,64712.0,7,DOWNTOWN,47.60266,-122.33332,1900,3903259.75
89355.0,89355.0,0,1.0,6,Small- and Mid-Sized Office,Office,82355.0,7,DOWNTOWN,47.60219,-122.33347,1900,4178233.5
224864.625,196071.25,0,1.0,15,Large Office,Office,192159.375,7,DOWNTOWN,47.6036,-122.33288,1922,16336999.203125
224864.625,196071.25,0,1.0,22,Large Office,Office,192159.375,7,DOWNTOWN,47.60403,-122.33497,1929,10062436.0
224864.625,196071.25,84600,1.0,17,Large Office,Office,192159.375,7,DOWNTOWN,47.6037,-122.33447,1958,16336999.203125
224864.625,196071.25,0,1.0,47,Large Office,Office,192159.375,7,DOWNTOWN,47.60505,-122.33427,1983,16336999.203125
224864.625,196071.25,129432,1.0,41,Large Office,Office,192159.375,7,DOWNTOWN,47.60567,-122.33511,1986,16336999.203125
91091.0,89699.0,1392,1.0,6,Small- and Mid-Sized Office,Office,89699.0,7,DOWNTOWN,47.60542,-122.33588,1950,1835804.875
157941.0,94948.0,62993,1.0,8,Large Office,Office,84838.0,7,DOWNTOWN,47.60581,-122.33664,1968,3743228.5
224864.625,196071.25,197231,1.0,29,Large Office,Office,192159.375,7,DOWNTOWN,47.60614,-122.33674,1991,16336999.203125
224864.625,196071.25,162604,1.0,34,Large Office,Office,192159.375,7,DOWNTOWN,47.60655,-122.33533,1980,16336999.203125
186768.0,162993.0,23775,1.0,14,Large Office,Office,182540.0,7,DOWNTOWN,47.60671,-122.33456,1972,9641043.0
224864.625,196071.25,368980,1.0,49,Large Office,Office,192159.375,7,DOWNTOWN,47.60615,-122.33388,1969,16336999.203125
224864.625,196071.25,164420,1.0,37,Large Office,Office,192159.375,7,DOWNTOWN,47.60549,-122.33319,2002,16336999.203125
224864.625,196071.25,171500,1.0,42,Large Office,Office,192159.375,7,DOWNTOWN,47.60616,-122.33165,1973,16336999.203125
201480.0,196071.25,0,1.0,8,Large Office,Office,161762.0,7,DOWNTOWN,47.60471,-122.33261,1907,8921778.0
224864.625,196071.25,159600,1.0,63,Large Office,Office,192159.375,3,DOWNTOWN,47.60501,-122.32988,1990,16336999.203125
224864.625,196071.25,0,1.0,14,Large Office,Office,192159.375,3,DOWNTOWN,47.60421,-122.32919,2001,16336999.203125
